Name,Year Drafted,Pick Round,Position,Y1 GP,Y1 GS,Y1 MPG,Y1 FG%,Y1 3P%,Y1 FT%,Y1 RPG,Y1 APG,Y1 SPG,Y1 BPG,Y1 PPG,Y2 GP,Y2 GS,Y2 MPG,Y2 FG%,Y2 3P%,Y2 FT%,Y2 RPG,Y2 APG,Y2 SPG,Y2 BPG,Y2 PPG,Y3 GP,Y3 GS,Y3 MPG,Y3 FG%,Y3 3P%,Y3 FT%,Y3 RPG,Y3 APG,Y3 SPG,Y3 BPG,Y3 PPG,Y4 GP,Y4 GS,Y4 MPG,Y4 FG%,Y4 3P%,Y4 FT%,Y4 RPG,Y4 APG,Y4 SPG,Y4 BPG,Y4 PPG,Active,All-Stars by Y4,Total All-Stars
Rudy Gay,2006,8,SF,78,43,27,0.422,0.364,0.727,4.5,1.3,0.9,0.9,10.8,81,81,37,0.461,0.346,0.785,6.2,2,1.4,1,20.1,79,78,37.3,0.453,0.351,0.767,5.5,1.7,1.2,0.7,18.9,80,80,39.7,0.466,0.327,0.752,5.9,1.9,1.5,0.8,19.6,No,0,0
Patrick O'Bryant,2006,9,C,16,0,7.4,0.313,0,0.647,1.3,0.6,0.4,0.5,1.9,24,0,4.1,0.552,0,0.6,1.2,0.2,0.2,0.4,1.5,26,0,4.2,0.516,0,0.667,1.3,0.3,0.1,0.3,1.5,13,3,11.3,0.547,0,0.375,2.5,0.2,0.2,0.8,4.7,No,0,0
Mouhamed Sene,2006,10,C,28,3,6,0.367,0,0.586,1.6,0,0.1,0.4,1.9,13,0,4.8,0.458,0,0.471,1.2,0.1,0,0.5,2.3,5,0,4.6,0.714,0,0.778,1.8,0,0.2,0.4,3.4,1,0,6,0.5,0,1,5,0,0,1,3,No,0,0
JJ Redick,2006,11,SG,42,0,14.8,0.41,0.388,0.9,1.2,0.9,0.3,0,6,34,0,8.1,0.444,0.395,0.794,0.7,0.5,0.1,0,4.1,64,5,17.4,0.391,0.374,0.871,1.7,1.1,0.3,0,6,82,9,22,0.439,0.405,0.86,1.9,1.9,0.3,0,9.6,No,0,0
Rajon Rondo,2006,21,PG,78,25,23.5,0.418,0.207,0.647,3.7,3.8,1.6,0.1,6.4,77,77,29.9,0.492,0.263,0.611,4.2,5.1,1.7,0.2,10.6,80,80,33,0.505,0.313,0.642,5.2,8.2,1.9,0.1,11.9,81,81,36.6,0.508,0.213,0.621,4.4,9.8,2.3,0.1,13.7,No,1,1
Kyle Lowry,2006,24,PG,10,0,17.5,0.368,0.375,0.893,3.1,3.2,1.4,0.1,5.6,82,9,25.5,0.432,0.257,0.698,3,3.6,1.1,0.3,9.6,77,21,21.9,0.412,0.246,0.801,2.3,3.6,1,0.2,7.6,68,0,24.3,0.397,0.272,0.827,3.6,4.5,0.9,0.1,9.1,Yes,0,6
Steve Novak,2006,32,SF,35,1,5.5,0.36,0.333,1,0.7,0.2,0.1,0,1.5,35,0,7.5,0.48,0.479,0.75,1,0.2,0.1,0.1,3.9,71,3,16.4,0.444,0.416,0.913,1.8,0.6,0.3,0.1,6.9,54,0,6.7,0.389,0.31,0.778,0.6,0.1,0.1,0,2.1,No,0,0
Solomon Jones,2006,33,F,58,8,11.5,0.508,0,0.787,2.3,0.2,0.2,0.7,3.3,35,0,4.1,0.4,0,0.55,1.2,0,0.1,0.1,1,63,0,10.7,0.604,0.5,0.716,2.3,0.2,0.1,0.5,3,52,2,13,0.443,0,0.718,2.8,0.6,0.3,0.7,4,No,0,0
Paul Davis,2006,34,C,31,0,5.8,0.423,0,0.7,1.4,0.2,0.2,0.2,1.6,22,1,8.8,0.369,0,0.6,2.1,0.5,0.3,0.3,2.5,27,1,11.9,0.408,0,0.794,2.5,0.4,0.4,0.1,4,2,0,4,0.5,0,0.5,0,1.5,0,0.5,2.5,No,0,0
P. J. Tucker,2006,35,F,17,0,4.9,0.5,0,0.571,1.4,0.2,0.1,0,1.8,79,45,24.2,0.473,0.314,0.744,4.4,1.4,0.8,0.2,6.4,81,81,30.7,0.431,0.387,0.776,6.5,1.7,1.4,0.3,9.4,78,63,30.6,0.438,0.345,0.727,6.4,1.6,1.4,0.3,9.1,Yes,0,0
